Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,18.3492,1.875,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,19.4742,3.875,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,19.4742,5.95833,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,19.5992,7.875,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,19.8492,6.33333,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,20.3492,11.3333,0.25,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,20.4742,5.75,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,20.5992,3.20833,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,20.9742,4.125,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,21.2242,7.70833,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,21.2659,7.75,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,21.5159,9,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,21.7659,0.375,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.2659,6.16667,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.3909,8.58333,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.5575,9.16667,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.7659,9.91667,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.8909,8.95833,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,22.9325,6.45833,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,23.4325,7.41667,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,23.9325,6.54167,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,24.1825,9.20833,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,24.2242,6.125,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,25.0159,5.66667,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,25.4742,12.0417,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,25.8075,10.875,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,26.0992,10.5625,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,27.5992,14.0833,0.958333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,28.1825,12.8333,0,0,,,Storyboard Annotation,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,1.97419,0.25,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.18252,0.583333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.34919,0.75,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.43252,0.0416667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.55752,0,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.72419,0.666667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.84919,0.833333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.84919,0.458333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,2.97419,1.16667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.09919,1.08333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.09919,1.20833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.14086,2.20833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.14086,0.416667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.22419,1.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.34919,0.208333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.55752,1.41667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.89086,1.41667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,3.89086,1.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,4.09919,1.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,2,4.18252,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,4.68252,2.29167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,5.18252,2,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,5.30752,2.91667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,6.93252,3.70833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,7.22419,4.375,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,7.30752,5.29167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,7.51586,0,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::3,QZ0::16,d::3,3,d,6.10469,8.81563,1.86563,1.825,QZ0,,,,,,,,16,4,L,3,1,8.68252,5.91667,0.25,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,1.42211,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,1.46377,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,2.25544,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.00544,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.04711,0.583333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.04711,0.291667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,3,3.21377,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.58877,0.541667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.63044,0.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.75544,1.16667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,3.88044,1.375,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,4.00544,0.791667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,4.63044,3.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,5.08877,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,5.25544,3.91667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,5.38044,2.91667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::0,QZ0::16,c::0,0,c,4.13594,1.17031,1.90938,1.87813,QZ0,,,,,,,,16,4,L,3,1,10.5054,7.83333,0.166667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,8.75544,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,9.79711,1.125,0.166667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,11.2971,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,11.3388,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,11.4221,5.41667,0.166667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,11.7971,0,0,1,Escaped machine detection,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,14.7554,2.54167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,14.8804,4.08333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,14.9638,3.04167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,16.2971,0,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,16.4638,4.75,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,16.6304,4.20833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,16.8388,6.89583,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,17.1304,3.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,17.3804,5.16667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,17.5054,4.45833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_c::3,QZ0::0,c::3,3,c,4.16875,7.76563,1.89375,1.85625,QZ0,,,,,,,,0,4,L,3,1,17.9638,6.58333,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
